label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR
items_add_minus,Mennyiség hozzáadása/elvétele,Bestandsänderung,Corrigatie hoeveelheid,Inventario a agregar/substraer,Inventory to add/subtract,Ajoujer/Soustraire à l'Inventaire,增/減庫存,Инвентарь для сложения/вычитания,เพิ่ม/ลบ จำนวนสินค้าคงคลัง,Eklenen/Çıkarılan Adet,Penyesuaian Inventori TAMBAH / KURANG (-),Inventário para adicionar/subtrair,Dodavanje/skidanje s inventure
items_allow_alt_desciption,Alternativ leirás eng.,Erlaube Alt. Bez.,,,,,,,Allow Alt Description,,,Descrição longa,Dozvoli Alt opis
items_allow_alt_description,Alternativ leirás eng.,Erlaube Alt. Bez.,Aanpasbare omschrijving,Permitir Descripción Alternativa,Allow Alt Description,Autoriser Description Alt,允許ALT描述,Разрешить альтернативные описания,แสดงข้อมูลเพิ่มเติม,Dip Nota izin ver,Deskripsi Alternatif dimungkinkan,Permitir atualizar descrição,Dozvoli Alt opis
items_amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon
items_bulk_edit,Tömeges módosítás,Sammeländerung,Bewerk Selectie,Edición Múltiple,Bulk Edit,Édition en groupe,批次編輯,Массовое изменение,แก้ไขความจุ,Toplu Düzenleme,Ubah Massal,Editar Múltiplos Itens,Zajedno uređenje
items_buy_price_required,Vételár kötelező mező,Einkaufspreis ist erforderlich,Buy price is a required field,Precio de Compra es requerido,Purchase price is a required field,Le Prix d'achat est requis,進貨價為必填欄位,Цена покупки обязательное пробелья,ราคาซื้อขายต้องกรอก,Alış Fiyatı zorunlu alandır,Harga Beli wajib diisi,Preço de compra é um campo obrigatório,Prodajna cijena je potrebna
items_cannot_be_deleted,"Nem törölhető a kiválasztott termék, mert van folyamatban lévő eladás!","Gewählte Artikel können nicht gelöscht werden, einer odere mehrere weisen Verkäufe auf",De geselecteerde producten konden niet worden verwijderd.,No se pueden borrar los artículos seleccionados. Uno o más tiene(n) ventas.,"Could not deleted selected items, one or more of the selected items has sales.",Impossible de supprimer. Un ou plusiers des items sélectionnés a des ventes.,無法刪除選定產品，所選產品中的一個或多個有銷售紀綠。,"Невозможно удалить выбранные товари, один или более из выбранных товаров имеет продаж.","ไม่สามารถลบสินค้าที่เลือก, สินค้าที่เลือกถูกขายไปแล้ว.","Seçili ürünler silinemedi, bazı ürünlerin satışı var.","Tidak dapat menghapus item terpilih, satu atau lebih item yang dipilih memiliki penjualan.",Não foi possível excluir os itens selecionados um ou mais dos itens selecionados tem vendas.,"Nemožete obrisati odabranu stavku, jedna ili više odabranih stavki ima prodaju."
items_cannot_find_item,Nem található információ a termékről,Konnte Artikel nicht finden,Er werd geen informatie gevonden omtrent product,No puedo encontrar información acerca del artículo,Cannot find any information about item,Impossible de récu[érer des informations,無法找到任何有關的產品,не могу найти любую информацию о товаре,ไม่พบข้อมูลของสินค้า,Ürün bilgisi bulunamadı,Tidak dapat menemukan informasi apapun tentang item,Não consegue encontrar qualquer informação sobre o produto,Nema informacije o odabranoj stavci
items_category,Kategória,Kategorie,Categorie,Categoría,Category,Categorie,類別,Категория,หมวดหมู่,Kategori,Kategori,Categoria,Kategorija
items_category_required,Kategória kötelező mező,Kategorie ist erforderlich,Categorie moet ingevuld worden,Categoría es requerido,Category is a required field,La Catégorie est requise,類別為必填欄位,Категория обязательное пробелья,หมวดหมู่สินค้าต้องกรอก,Kategori zorunlu alandır,Kategori wajib diisi,Categoria é um campo obrigatório,Kategorija je potrebna
