label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
employees_basic_information,Munkavállaló alap információk,Mitarbeiter-Information,Information,Información Básica de Empleados,Information,Fiche Employé,員工基本資料,Сотрудник Базовая Информация,ข้อมูลพื้นฐานของพนักงาน,Personel Temel Bilgileri,Informasi Karyawan,Informações do Funcionário,Informacije,Mitarbeiter-Information
employees_cannot_be_deleted,"Nem lehet a kiválasztott munkavállaló(ka)t törölni, mert már van lezárt értékesítése vagy saját magát kívánja törölni! :)","Konnte gewählten Mitarbeiter nicht löschen, einer oder mehrere weisen Verkäufe aus.","Could not deleted selected employees, one or more of the employees has processed sales or you are trying to delete yourself :)",No se pudieron borrar empleados. Uno o más empleados tiene ventas procesadas o estás tratando de borrarte a tí mismo(a).,"Could not deleted selected employees, one or more of the employees has processed sales or you are trying to delete yourself :)","Impossible de supprimer. Un ou plusieurs des employés à éffectué une vente, ou alors vous essayez de vous supprimer vous-meme :)",無法刪除選定的僱員，選定的員工中已有銷售紀錄或你正在試圖刪除自己 :),"Не возможно удалить выбранный сотрудников, одного или более работников обработал продаж или вы пытаетесь удалить себя",ไม่สามารถลบข้อมูลพนักงานที่กำลังปฏิบัติงานอยู่ได้,"Seçili personel silinemedi, personellerin satışları var yada kendinizi silmeye çalışıyorsunuz",Karyawan terpilih tidak bisa dihapus satu atau lebih dari para pekerja telah memproses penjualan atau Anda mencoba untuk menghapus diri Anda sendiri :),"Não foi possível excluir funcionários selecionados, um ou mais dos funcionários processou vendas ou você está tentando excluir-se :)","Ne možete obristi odabranog radnika, jedan ili više radnika ima prodaju ili pokušavate obristi sebe :)","Konnte gewählten Mitarbeiter nicht löschen, einer oder mehrere weisen Verkäufe aus."
employees_confirm_delete,"Biztos, hogy törölni kívánja a munkavállalót?",Wollen Sie diesen Mitarbeiter wirklich löschen?,Bent u zeker dat u de geselecteerde werknemers wil verwijderen?,¿Seguro(a) que quieres borrar los empleados seleccionados?,Are you sure you want to delete the selected employees?,Voulez-vous supprimer ces employés?,你確定要刪除所選的員工嗎？,"Вы уверены, что хотите удалить выбранную сотрудников?",ยืนยันการลบข้อมูลพนักงาน,Seçili personelleri silmek istediğinize emin misiniz?,Apakah Anda yakin ingin menghapus karyawan yang dipilih?,Tem certeza de que deseja excluir os funcionários selecionados?,Jeste li ste sigurni da želite obristi odabranog radnika?,Wollen Sie diesen Mitarbeiter wirklich löschen?
employees_employee,Munkavállaló,Mitarbeiter,Werknemer,Empleado,Employee,Employé,員工,Сотрудник,พนักงาน,Personel,Karyawan,Funcionário,Radnik,Mitarbeiter
employees_error_adding_updating,Hiba a munkavállaló módosításánál/hozzáadásánál,Fehler beim Hinzufügen/Ändern,Error adding/updating employee,Error al agregar/actualizar empleado,Error adding/updating employee,Erreur d'ajout/édition d'employé,添加/更新員工錯誤,Ошибка при добавлении/обновлении сотрудника,การปรับปรุงข้อมูลผิดพลาด,Personel ekleme/güncelleme hatası,Kesalahan menambah / memperbarui karyawan,Erro ao adicionar/atualizar funcionário,Greška kod dodavanja/ažuriranja radnika,Fehler beim Hinzufügen/Ändern
employees_error_deleting_demo_admin,Nem tudja törölni a demo admin felhasználót,Sie können den Admin nicht löschen,You can not delete the demo admin user,No puedes borrar el usuario admin del demo,You can not delete the demo admin user,Vous ne pouvez pas effacer l'utilisateur de démonstration admin,您不能刪除admin用戶,Вы не можете удалить пользователь демонстрация аккаунт,You can not delete the demo admin user,Admin güncellenemez,Anda tidak dapat menghapus Demo admin user,Você não pode excluir o usuário administrador de demonstração,Ne možete obrisati demo admin korisnika,Sie können den Admin nicht löschen
employees_error_updating_demo_admin,Nem tudja módosítani a demo admin felhasználót,Sie können den Admin nicht ändern,You can not change the demo admin user,No puedes cambiar el usuario admin del demo,You can not change the demo admin user,Vous ne pouvez pas modifier l'utilisateur de démonstration admin,您不能更改admin用戶,Вы не можете изменить пользователь демонстрация аккаунт,You can not change the demo admin user,Admin silinemez,Anda tidak dapat merubah Demo admin user,Você não pode alterar o usuário de demonstração de administração,Ne možete promijeniti demo admin korisnika,Sie können den Admin nicht ändern
employees_login_info,Munkavállaló azonosító,Mitarbeiter Login,Login,Información de Ingreso del Empleado,Login,Détails de Connexion Employé,員工登錄資料,Информация для сотрудников Входа,Login,Personel Giriş Bilgileri,Info Login Karyawan,Informações de Entrada do Funcionário,Prijava,Mitarbeiter Login
employees_new,Új munkavállaló,Neuer Mitarbeiter,N. Werknemer,Nuevo Empleado,New Employee,Nouvel Employé,新員工,Новый Сотрудник,เพิ่มพนักงาน,Yeni Personel,Karyawan Baru,Novo Funcionário,Novi radnik,Neuer Mitarbeiter
employees_none_selected,Nem választott ki munkavállalót a törléshez,Sie haben keinen Mitarbeiter zum Löschen gewählt,U hebt geen werknemers geselecteerd,No has seleccionado empleados para borrar,You have not selected any employees to delete,Aucun employé sélectionné pour la suppression,您還沒有選擇任何員工進行刪除,Вы не выбрали ни сотрудников для удаления,โปรดเลือกพนักงาน,Silmek için çalışan seçmediniz,Anda belum memilih karyawan untuk menghapus,Você não selecionou nenhum funcionário para excluir,Nije odabran niti jedan radnik za brisanje,Sie haben keinen Mitarbeiter zum Löschen gewählt
