label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
sales_add_payment,Fiz. hozzáad.,Zahlung,Betaal,Agregar Pago,Add Payment,Ajouter Paiement,新增付款,Добавить оплаты,เพิ่มบิล,Ödeme Ekle,TERIMA,Pagar,Dodaj plaćanje,Zahlung
sales_amount_due,Fennmaradó,fälliger Betrag,Te betalen,Debe,Amount Due,Somme Due,Amount Due,Amount Due,ยอดต้องชำระ,Kalan Ödeme,Kembalian Uang,Diferença,Iznos duga,fälliger Betrag
sales_amount_tendered,Összeg,Erhalten,Ontvangen bedrag,Cantidad Recibida,Amount Tendered,Somme,已收帳款,предложенная сумма,ชำระเข้ามา,Ödenen Tutar,Nilai Pembayaran,A Pagar,Ponuđeni iznos,Erhalten
sales_cancel_sale,Mégsem,Annullieren,Annuleer,Cancelar Venta,Cancel,Annuler la Vente,取消銷售,Отменить продажу,ยกเลิกการขาย,İptal Et,Batal Jual,Cancelar,Otkaži,Annullieren
sales_cash,Készpénz,Bar,Contant,Efectivo,Cash,Cash,現金,наличные деньги,เงินสด,Nakit,Tunai,Dinheiro,Novčanice,Bar
sales_change_due,Visszajáró,Wechselgeld,Wisselgeld terug,Cambio,Change Due,Reste,更改到期日,сдача должное,เงินทอน,Para Üstü,Kembalian Uang,Troco,Ostatak,Wechselgeld
sales_check,Csekk,Scheck,Waardebon,Cheque,Check,Cheque,支票,банковский чек,เช็ค,Çek,Cek,Cheque,Ček,Scheck
sales_check_balance,Csekk maradék,Scheck-Differenz,Waardebon terug,Balance de Cheque,Check remainder,Check remainder,Check remainder,Check remainder,Check remainder,Check remainder,Check remainder,Cheque restante,Ostatak čeka,Scheck-Differenz
sales_comment,Komment,Bemerkung,Commentaar,Comentario,Comment,Commentaire,評論,комментировать,หมายเหตุ,Yorum,Catatan,Cementário,Komentar,Bemerkung
sales_comments,Kommentek,Bemerkungen,Commentaar,Comentarios,Comments,Commentaires,評論,Комментарии,หมายเหตุ,Yorumlar,Keterangan,Comentários,Komentari,Bemerkungen
sales_complete_sale,Eladás befej.,Abschliessen,Bevestig,Completar Venta,Complete,Finaliser la Vente,完成銷售,Завершить продажу,จบการขาย,Satışı Tamamla,Entri penjualan,Finalizar,Završeno,Abschliessen
sales_confirm_cancel_sale,Biztos kiüriti ezt az eladást? MINDEGYIK termék törölve lesz.,Wollen Sie diesen Verkauf abschliessen? Alle Artikeleinträge werden entfernt,Bent u zeker dat u deze aankoop wil verwijderen?,¿Seguro(a) de querer limpiar esta venta? Todos los artículos serán limpiados.,Are you sure you want to clear this sale? All items will cleared.,Etes vous sûr(e) de vouloir annuler cette vente?,你確定要清除此筆銷售單？本單內的所有產品將被清除。,"Вы уверены, что хотите удалить эту продажу? Все детали будут очищены.",แน่ใจหรือไม่ที่จะล้างรายการขาย? สินค้าทุกอย่างจะถูกลบจากบอร์ด.,Bu satışı iptal etmek istiyor musunuz? Tüm ürünler çıkarılacak.,Anda yakin ingin membatalkan transaksi penjualan ini?  Semua item akan dihapus.,Tem certeza de que deseja apagar esta venda? Todos os itens serão apagados.,Želite li otkazati ovu prodaju? Svi artikli se brišu.,Wollen Sie diesen Verkauf abschliessen? Alle Artikeleinträge werden entfernt
sales_confirm_delete,"Biztos, hogy törli a kijelölt értékesitéseket?",Wollen Sie die gewählten Aufträge löschen?,Bent u zeker dat u de geselecteerde aankopen wil verwijderen?,¿Seguro(a) de querer borrar las ventas seleccionadas?,Are you sure you want to delete the selected sales?,Are you sure you want to delete the selected sales?,Are you sure you want to delete the selected sales?,Are you sure you want to delete the selected sales?,Are you sure you want to delete the selected sales?,Are you sure you want to delete the selected sales?,Are you sure you want to delete the selected sales?,Tem certeza de que deseja excluir as vendas selecionados?,Želite li obrisati odabranu prodaju?,Wollen Sie die gewählten Aufträge löschen?
sales_credit,Hitelkártya,Kreditkarte,Kredietkaart,Tarjeta de Crédito,Credit Card,Carte de Crédit,信用卡,кредитная карта,เครดิตการ์ด,Kredi Kartı,Kartu Credit,Cartão Crédito,Kreditna kartica,Kreditkarte
sales_customer,Vevő,Kunde,Klant,cliente,Name,Client,客戶,клиент,ลูกค้า,Müşteri,Pelanggan,Cliente,Kupac,Kunde
sales_customer_email,Vevő e-mail,Customer Email,Customer Email,Email,Email,Customer Email,Customer Email,Customer Email,Customer Email,Customer Email,Customer Email,e-mail,e-mail kupca,Kunden Email
sales_customer_address,Vevő cím,Customer Address,Customer Address,Direccion,Address,Customer Address,Customer Address,Customer Address,Customer Address,Customer Address,Customer Address,Endereço,Adresa kupca,Kundenadresse
sales_customer_location,Vevő hely,Customer Location,Customer Location,Ubicacion,Location,Customer Location,Customer Location,Customer Location,Customer Location,Customer Location,Customer Location,Localização,Mjesto kupca,Kunden Stadt
sales_customer_discount,Discount,Discount,Discount,Descuento,Discount,Discount,Discount,Discount,Discount,Discount,Discount,Desconto,Discount,Discount
sales_customer_total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
sales_date,Eladás dátuma,Datum,Datum,Fecha,Sale Date,Date de Vente,日期,Число,วันที่ขาย,Satış Tarihi,Tanggal,Data Venda,Datum prodaje,Datum
sales_date_required,Korrekt dátumot kell megadnia.,Ein korrektas Datum ist erforderlich,Gelieve een correcte datum in te vullen,Una fecha correcta de ser ingresada,A correct date needs to be filled in,A correct date needs to be filled in,A correct date needs to be filled in,A correct date needs to be filled in,A correct date needs to be filled in,A correct date needs to be filled in,Permintaan Data,A data correta precisa ser preenchida,Morate unijeti ispravan datum,Ein korrektes Datum ist erforderlich
sales_date_type,Dátum mező kötelező,Datum ist erforderlich,Er moet een correcte datum ingevuld worden,Campo de Fecha es requerido,Date field is required,Date field is required,Date field is required,Date field is required,Date field is required,Date field is required,Jenis Data,Data é requerida,Datum je potreban,Datum ist erforderlich
sales_debit,Bankkártya,Debitkarte,Bancontact,Tarjeta de Débito,Debit Card,Carte Débit,簽帳卡,Дебетовая карта,เดบิตการ์ด,Banka Kartı,Kartu Debit,Cartão Débito,Debitna kartica,EC-Karte
sales_delete_confirmation,"Biztos, hogy törli ezt az eladást? Nem lehet visszavonni!",Wollen Sie diesen Auftrag löschen? Rückgängig unmöglich,Bent u zeker dat u deze aankoop wil verwijderen?,¿Seguro(a) de querer borrar esta venta? Esta acción no se puede deshacer.,"Are you sure you want to delete this sale, this action cannot be undone",Etes vous sûr(e) de vouloir supprimer cette vente? Cette opération est irréversible.,你確定要刪除此銷售資料，這個動作不能撤消,"Вы уверены, что хотите удалить эту продажу, это действие не может быть отменено","แน่ใจหรือไม่ที่จะลบรายการขายนี้, ลบแล้วไม่สามารถเรียกกลับคืนใด้","Satışı silmek istediğinize emin misiniz, bu işlem geri alınamaz","Apakah anda yakin ingin menghapus transaksi penjualan ini, Pilihan ini tidak dapat dibatalkan","Tem certeza de que deseja excluir esta venda, esta ação não pode ser desfeita",Želite li obrisati ovu prodaju. Ova akcija ne može se vratiti?,Wollen Sie diesen Auftrag löschen? Rückgängig unmöglich
sales_delete_entire_sale,Eladás törlése,Auftrag löschen,Verwijder,Borrar la venta completa,Delete entire sale,Supprimer Vente,刪除全部銷售資料,Удалить всего продажи,ลบการขายทั้งหมด,Satışın tamamını sil,Hapus Transaksi Penjualan,Apagar toda a venda,Obrisati cjelokupnu prodaju,Auftrag löschen
