label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de,ar-EG
config_address,Cég cím,Adresse,Adres,Dirección del Comercio,Company Address,Addresse,公司地址,Адрес Компании,ที่อยู่,Şirket Adresi,Alamat Perusahaan,Endereço,Adresa tvrtke,Adresse,عنوان الشركة
config_address_required,Cég cím kötelező mező,Adresse ist erforderlich,Het adres van het bedrijf moet ingevuld worden,Dirección del Comercio es requerida,Company address is a required field,L'adresse est requise,公司地址為必填,Адрес Компании обязательный пробел,ที่อยู่ต้องกรอก,Şirket Adresi zorunlu alandır,Alamat Perusahaan wajib diisi,Endereço da empresa é um campo obrigatório,Adresu tvrtke je potrebno unijeti,Adresse ist erforderlich,عنوان الشركة مطلوب
config_apostrophe,apostrophe,apostrophe,apostrophe,apostrofe,apostrophe,apostrophe,apostrophe,apostrophe,apostrophe,apostrophe,apostrophe,apóstrofe,apostrophe,apostrophe,الفاصلة
config_backup_button,Mentés,Sicherung,Backup,Respaldo,Backup,Backup,Backup,Backup,สำรองข้อมูล,Backup,Backup,Cópia de Segurança,Arhiva,Sicherung,نسخ إحتياطى
config_backup_database,Adatbázis mentése,Sicherungs-Datenbank,Backup Database,Respaldo de Base de Datos,Backup Database,Backup Database,Backup Database,Backup Database,สำรองฐานข้อมูล,Backup Database,Backup Database,Cópia de Segurança,Arhiviranje baze,Sicherungs-Datenbank,نسخ إحتياطى لقاعدة البيانات
config_barcode,Vonalkód,Barcodes,Barcode,Código de Barras,Barcode,Barcode,Barcode,Barcode,ตั้งค่าระบบบาร์โค้ด,Barcode,Barcode,Código de Barras,Barkoda,Barcodes,باركود
config_barcode_company,Cég neve,Firmenname,Bedrijfsnaam,Nombre del Comercio,Company Name,Nome de l'Entreprise,公司名稱,Название Компании,ชื่อร้านค้า,Şirket Adı,Nama Perusahaan,Empresa,Naziv tvrtke,Firmenname,اسم الشركة
config_barcode_configuration,Vonalkód konfigurálása,Barcodes,Barcode Configuratie,Configuración de Código de Barras,Barcode Configuration,Barcode Configuration,Barcode Configuration,Barcode Configuration,ตั้งค่าระบบบาร์โค้ด,Barcode Configuration,Barcode Configuration,Configuração do Código de Barras,Konfiguracija barkoda,Barcodes,اعدادات الباركود
config_barcode_content,Vonalkód tartalma,Barcode Inhalt,Inhoud Barcode,Contenido de Código de Barras,Barcode Content,Barcode Content,Barcode Content,Barcode Content,รหัสที่พิมพ์,Barcode Content,Barcode Content,Conteúdo do código de barras,Sadržaj barkoda,Barcode Inhalt,محتويات الباركود
config_barcode_first_row,Sor 1,Erste Zeile,Rij 1,Fila 1,Row 1,Row 1,Row 1,Row 1,แถว 1,Row 1,Row 1,Linha 1,1 red,Erste Zeile,الصف 1
config_barcode_font,Font,Schrift,Lettertype,Fuente,Font,Font,Font,Font,แบบอักษร,Font,Font,Fonte,Pismo,Schrift,الخط
config_barcode_height,Magasság (px),Höhe,Hoogte (px),Alto (px),Height (px),Height (px),Height (px),Height (px),สูง (px),Height (px),Height (px),Altura (px),Visina(px),Höhe,الارتفاع (px)
config_barcode_id,Termék Id/Név,Artikel-Nr/Name,Product id/naam,Id/Nombre de Artículo,Item Id/Name,Item Id/Name,Item Id/Name,Item Id/Name,รหัสสินค้า/ชื่อสินค้า,Item Id/Name,Item Id/Name,Item Id/Nome,ID artikla,Artikel-Nr/Name,كود/اسم الصنف
config_barcode_info,Vonalkód konfigurációs információk,Barcode Einstellung,Barcode instellingen,Información de Configuración de Código de Barras,Barcode Configuration Information,Barcode Configuration Information,Barcode Configuration Information,Barcode Configuration Information,ตั้งค่าบาร์โค้ด,Barcode Configuration Information,Barcode Configuration Information,Informação de configuração de códigos de barras,Informacija o barkod-ovima,Barcode Einstellung,معلومات اعدادات الباركود
config_barcode_layout,Vonalkód elrendezés,Barcode Layout,Barcode Layout,Presentación de Código de Barras,Barcode Layout,Barcode Layout,Barcode Layout,Barcode Layout,โครงร่างการพิมพ์,Barcode Layout,Barcode Layout,Layout Código de barras,Postavke barkod-a,Barcode Layout,تخطيط الباركود
config_barcode_name,Név,Name,Productnaam,Nombre,Name,Name,Name,Name,สินค้า,Name,Name,Nome,Naziv,Name,الاسم
config_barcode_number,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,Cod. Barra,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN
config_barcode_number_in_row,Szám a sorban,Nummer in Zeile,Aantal per rij,Número en la línea,Number in row,Number in row,Number in row,Number in row,จำนวนดวงใน 1 แถว,Number in row,Number in row,Número de linhas,Red.br.,Nummer in Zeile,الرقم فى الصف
config_barcode_page_cellspacing,Display page cellspacing,Zellenabstand auf Seite,Toon cellspatiëring,Mostrar espacios de celdas de página,Display page cellspacing,Display page cellspacing,Display page cellspacing,Display page cellspacing,ระยะห่างต่อดวง,Display page cellspacing,Display page cellspacing,Página de exibição espaçamento das células,Stranični prostor,Zellenabstand auf Seite,المسافة بين الخلايا فى صفحة العرض
config_barcode_page_width,Display page width,Seitenbreite,Toon paginabreedte,Mostrar ancho de página,Display page width,Display page width,Display page width,Display page width,ความกว้างในหน้า,Display page width,Display page width,Largura da página de exibição,Širina stranice,Seitenbreite,عرض الصفحة
config_barcode_price,Ár,Preis,Prijs,Precio,Price,Price,Price,Price,ราคา,Price,Price,Preço,Cijena,Preis,السعر
config_barcode_quality,Minőség (1-100),Qualität (1-100),Kwaliteit (1-100),Calidad (1-100),Quality (1-100),Quality (1-100),Quality (1-100),Quality (1-100),คุณภาพ (1-100),Quality (1-100),Quality (1-100),Qualidade (1-100),Kvalitet(1-100),Qualität (1-100),الجودة (1-100)
config_barcode_second_row,Sor 2,Zeile 2,Rij 2,Fila 1,Row 2,Row 3,Row 4,Row 5,แถว 2,Row 7,Row 8,Linha 2,2.red,Zeile 2,الصف 2
