label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
item_kits_add_item,Termék hozzáadása,Neuer Artikel,Nieuw Product,Agregar Artículo,Add Item,Ajouter Item,新增套件,Добавить товар,เหิ่มสินคัา,Ürün Ekle,Tambah Item Barang,Adicionar Item,Dodaj artikl,Neuer Artikel
item_kits_cannot_be_deleted,Termékcsomag(ok) nem törölhető(ek),Konnte Artikel-Set(s) nicht löschen,De sets konden niet worden verwijderd,No pude borrar el/los Kit(s) de Artículos,Could not delete item kit(s),Impossible de supprimer,無法刪除產品套件,Не могу удалить Товара комплект (ы),ไม่สามารถลบได้,Ürün seti silinemedi,Item Paket tidak dapat dihapus,Não foi possível eliminar conjunto de itens,Ne možete obrisati normativ(e),Konnte Artikel-Set(s) nicht löschen
item_kits_confirm_delete,"Biztos, hogy törli a kiválasztott csomagokat?",Wollen Sie die gewählten Artikel-Sets wirklich löschen?,Bent u zeker dat u de geselecteerde sets wil verwijderen?,¿Estás seguro(a) de querer borrar los kits seleccionados?,Are you sure you want to delete the selected item kits?,Ètes vous sûr(e) de vouloir supprimer le(s) Kits sélectionnés?,你確定你要刪除選取的產品套件嗎？,"Вы уверены, что хотите удалить выбранные товар? комплекты",แน่ใจหรือไม่ที่จะลบสินค้าหมู่ที่ถูกเลือก?,Seçili ürün setini silmek istediğinize emin misiniz?,Apakah Anda yakin ingin menghapus Item Paket dipilih?,Tem certeza de que deseja excluir os conjuntos de itens selecionados?,Jeste li sigurni da želite obrisati normativ,Wollen Sie die gewählten Artikel-Sets wirklich löschen?
item_kits_description,Termékcsomag leírás,Beschreibung Artikel-Set,Omschrijving,Descripción del Kit de Artículos,Item Kit Description,Description du Kit,產品套件描述,Описание товара Комплект,แนะนำสินค้าหมู่,Ürün Seti Tanımı,Deskripsi Item Paket,Descrição do conjunto de Itens,Opis normativa,Beschreibung Artikel-Set
item_kits_error_adding_updating,Hiba a termékcsomag hozzáadásánál/módosításánál,Fehler beim Hinzufügen/Ändern,Fout bij het toevoegen/aanpassen van een set,Error agregando/actualizando el Kit de Artículos,Error adding/updating Item Kit,Érreur d'ajout/édition de Kit,新增/更新產品套件錯誤,Ошибка при добавлении/обновлении товара комплекта,เพิ่ม/ปรับปรุงสินค้าหมู่ล้มเหลว,Ürün seti ekleme/güncelleme hatası,Tambah/Ubah Item Paket tidak berhasil,Erro ao adicionar/atualizar conjunto de item,Greška kod dodavanja/ažuriranja normativa,Fehler beim Hinzufügen/Ändern
item_kits_info,Termékcsomag info,Artikel-Set Information,Product Set Info,Info de Kit de Artículos,Item Kit Info,Détails du Kit,產品套件資料,Информация о товаре комплекта,ข้อมูลสินค้าหมู่,Ürün Seti Bilgisi,Item Paket Info,Informação do conjunto de Itens,Info normativa,Artikel-Set Information
item_kits_item,Termék,Artikel,Product,Artículo,Item,Item,產品,товар,สินค้า,Ürün,Item Barang,Item,Artikal,Artikel
item_kits_items,Termékek,Artikel,Producten,Artículos,Items,Items,產品,товары,สินค้า,Ürünler,Item Barang,Itens,Stavke normativa,Artikel
item_kits_kit,Csomag ID,Set-ID,Kit Id,Kit Id,Kit Id,Kit Id,Kit Id,Kit Id,Kit Id,Kit Id,Kit Id,Conjunto Id,Normativ br.,Set-ID
item_kits_name,Termékcsomag neve,Name,Naam,Nombre del Kit de Artículos,Item Kit Name,Nom du Kit,產品套件,Наименование товара комплект,ชื่อสินค้าหมู่,Ürün Seti İsmi,Nama Item Paket,Nome conjunto de Itens,Naziv normativa,Name
