label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
suppliers_account_number,Számla #,Konto-Nr.,Btw nummer,Cuenta #,Account #,# Compte,帳號 #,№ счета,บัญชี #,Hesap No,Nomor Akun Pemasok,Conta nº,Račun br.,Konto-Nr.
suppliers_cannot_be_deleted,"Nem lehet törölni a beszállítót, mert már van eladásuk.","Kann gewählte Lieferanten nicht löschen, einer oder mehrere weisen Verkäufe aus.",De geselecteeerde leveranciers konden niet worden verwijderd. Eén of meerdere leveranciers hebben ordergegevens in de database zitten.,No se pudo borrar los proveedores seleccionados. Uno o más de los seleccionados tiene ventas.,"Could not deleted selected suppliers, one or more of the selected suppliers has sales.",Impossible de supprimer le(s) fournisseur(s) sélectionné(s). Un ou plusieurs ont des ventes.,無法刪除所選擇的供應商，選定的供應商中至少有一家已有銷售紀錄。,"Не удалось удалить выбранные поставщиков, один или более из выбранных поставщиков имеет продаж.","ลบผู้ผลิตที่ถูกเลือกไม่ได้, one or more of the selected suppliers has sales.","Sağlayıcı silinemedi, bazı sağlayıcıların satışı var.","Tidak bisa dihapus pemasok yang dipilih, satu atau lebih dari pemasok yang dipilih memiliki penjualan.","Não foi possível excluir fornecedores selecionados, um ou mais dos fornecedores selecionados tem vendas.",Ne mogu obrisati odabranog dobavljača. Jedan ili više odabranih dobavljača ima prodaju.,"Kann gewählte Lieferanten nicht löschen, einer oder mehrere weisen Verkäufe aus."
suppliers_company_name,Cégnév,Firmenname,Leverancier,Nombre de la Compañía,Company Name,Nom d'Entreprise,公司名稱,Название компании,ชื่อบริษัท,Şirket Adı,Nama Perusahaan,Empresa,Naziv tvrtke,Firmenname
suppliers_company_name_required,Cégnév kötelező mező,Firmenname ist erforderlich,Bedrijfsnaam moet ingevuld worden,Nombre de la Compañía es requerido,Company Name is a required field,Le Nom d'Entreprise est un champ requis,公司名稱是必填欄位,Название компании является обязательным полем,ชื่อบริษัทต้องกรอก,Şirket Adı zorunlu alandır,Nama Perusahaan wajib diisi,Nome da Empresa é um campo obrigatório,Naziv tvrtke je potreban,Firmenname ist erforderlich
suppliers_agency_name,Ügynökség neve,Name der Agentur,Agencynaam,Nombre de la Agencia,Agency Name,Nom d'Agence, , , , ,Nama,Nome da Agência,Naziv djelatnosti,Name der Agentur
suppliers_confirm_delete,"Biztos, hogy törölni kívánja a kiválasztott beszállítókat?",Wollen Sie die gewählten Lieferanten löschen?,Bent u zeker dat u de geselecteerde leveranciers wil verwijderen?,¿Seguro(a) de querer borrar los proveedores seleccionados?,Are you sure you want to delete the selected suppliers?,Etes vous sûr(e) de vouloir supprimer ce(s) fournisseur(s)?,你確定要刪除選定的供應商嗎？,"Вы уверены, что хотите удалить выбранных поставщиков?",แน่ใจหรือไม่ที่จะลบผู้ผลิตที่ถููกเลือก?,Seçili sağlayıcıları düzenlemek istiyor musunuz?,Apakah Anda yakin ingin menghapus pemasok yang dipilih?,Tem certeza de que deseja excluir os fornecedores selecionados?,Jeste li ste sigurni da želite obrisati odabranog dobavljača?,Wollen Sie die gewählten Lieferanten löschen?
suppliers_error_adding_updating,Hiba beszállító hozzáadásánál/módosításánál,Fehler beim Hinzufügen/Ändern,Fout bij het toevoegen/aanpassen van een leverancier,Error agregando/actualizando proveedor,Error adding/updating supplier,Error lors de l'ajout/suppression de fournisseur,新增/更新供應商錯誤,Ошибка при добавлении/обновлении поставщиком,เพิ่ม/แก้ไข ผู้ผลิต ล้มเหลว,Sağlayıcı ekleme/düzenleme hatası,Kesalahan Menambah / memperbarui data pemasok,Erro ao adicionar/atualizar fornecedor,Greška kod dodavanja/ažuriranja dobavljača,Fehler beim Hinzufügen/Ändern
suppliers_new,Új beszállító,Neuer Lieferant,N. Leverancier,Nuevo Proveedor,New Supplier,Nouveau Fournisseur,新增供應商,Новый поставщик,ผู้ผลิตรายใหม่,Yeni Sağlayıcı,Pemasok Baru,Novo Fornecedor,Novi dobavljač,Neuer Lieferant
suppliers_none_selected,Nem választott ki beszállítót a törléshez,Sie haben keinen Lieferanten zum Löschen ausgewählt,U hebt geen leveranciers geselecteerd,No has seleccionado proveedores para borrar,You have not selected any suppliers to delete,Vous n'avez pas sélectionné de fournisseur à supprimer,您還沒有選擇任何供應商進行刪除,Вы не выбрали ни поставщики удалить,คุณยังไม่ได้เฃือกผู้ผลิตที่ต้องการลบ,Silmek için sağlayıcı seçmediniz,Anda belum memilih pemasok untuk dihapus,Você não selecionou nenhum fornecedores para excluir,Niste odabrali nijednog dobavljača za brisanje,Sie haben keinen Lieferanten zum Löschen ausgewählt
suppliers_one_or_multiple,beszállító(k),Lieferanten,leverancier(s) verwijderd,proveedor(es),supplier(s),fournisseur(s),供應商,поставщик (а),ผู้ผลิต,sağlayıcılar,Pemasok,fornecedor(es),Dobavljač(i),Lieferanten
