label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
common_address_1,Cím 1,Adresse 1,Adres 1,Dirección 1,Address 1,Addresse 1,地址 1,Адрес 1,ที่อยู่,Adres 1,Alamat 1,Endereço,Adresa 1,Adresse 1
common_address_2,Cím 2,Adresse 2,Adres 2,Dirección 2,Address 2,Addresse 2,地址 2,Адрес 2,ที่อยู่ (เพิ่มเติม),Adres 2,Alamat 2,Complemento,Adresa 2,Adresse 2
common_city,Város,Stadt,Stad,Ciudad,City,Ville,城市,Город,อำเภอ,Şehir,Kota,Cidade,Grad,Stadt
common_close,Close,Close,Close,Cerrar,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
common_comments,Megjegyzések,Kommentare,Commentaar,Comentarios,Comments,Commentaires,評論,Комментарии,หมายเหตุ,Yorumlar,Catatan,Comentários,Komentari,Kommentare
common_common,közös,Allgemein,algemeen,común,common,commun,一般,общественно,ธรรมดา,genel,Biasa,comum,Zajedničko,Allgemein
common_confirm_search,"Ön egy vagy több mezőt választott ki, a keresés után ezek már nem lesznek kiválasztva. Biztos, hogy elküldi ezt a keresést?",Sie haben einen oder mehrere Zeilen gewählt. Nach der Verarbeitung werden diese nicht mehr selektiert sein. Wollen Sie die Suche dennoch verarbeiten?,"U hebt een of meerdere rijen geselecteerd, deze zullen niet langer geselecteerd zijn na de zoekopdracht. Bent u zeker dat u wil verdergaan?",Has seleccionado una o más filas. Éstas no estarán seleccionadas después de tu búsqueda. ¿Seguro(a) que quieres hacer esta búsqueda?,"You have selected one or more rows, these will no longer be selected after your search. Are you sure you want to submit this search?",Vous avez sélectionné une ou plusieurs ligne(s). Elles ne seront plus selectionnées apres cette recherche. Voulez-vous lancer cette recherche?,您已經選擇一行或多行，在搜索後這些紀錄將不能再被選取。您確定要提交這個搜索？,"Вы выбрали одну или несколько строк, это больше не будет быть выбрано после поиска. Вы уверены, что хотите, чтобы представить этот поиск?","คุณเลือกมากกว่าหนึ่งแถว, สิ่งที่คุณเลือกจะถูกยกเลิกหลังการค้นหา. แน่ใจหรือไม่ที่จะค้นหา?","Birden fazla satır seçtiniz, arama yaptığınızda seçiminiz kaybolacak. Arama yapmak istediğinize emin misiniz?","Anda telah memilih satu atau lebih baris, ini tidak akan lagi dipilih setelah pencarian Anda. Apakah Anda yakin ingin mengirimkan pencarian ini?","Você selecionou uma ou mais linhas,  estes não serão mais selecionados após a sua pesquisa. Tem certeza de que deseja enviar esta pesquisa?",Odabrali ste jedan ili više redova koji neće biti odabrani nakon pretrage. Jeste li ste sigurni da želite pretragu?,Sie haben einen oder mehrere Zeilen gewählt. Nach der Verarbeitung werden diese nicht mehr selektiert sein. Wollen Sie die Suche dennoch verarbeiten?
common_country,Ország,Land,Land,País,Country,Pays,國家,Страна,ประเทศ,Ülke,Negara,País,Država,Land
common_date,Dátum,Datum,Datum,Fecha,Date,Date,Date,Date,Date,Date,Date,Data,Datum,Datum
common_delete,Törlés,Löschen,Verwijder,Borrar,Delete,Effacer,刪除,Удалить,ลบ,Sil,Hapus,Apagar,Obrisati,Löschen
common_print,Nyomtat,Drucken,Print,Imprimir,Print,Imprimer,Print,Print,พิมพ์,Print,Print,Imprimir,Štampati,Drucken
common_det,részletek,Details,details,detalles,details,détails,更多,детали,สรุป,Detaylar,Detail,detalhes,Detalji,Details
