label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR,de
giftcards_add_minus,Hozzáadás/levonás,Bestandsänderung,Corrigatie hoeveelheid,Inventario a agregar/substraer,Inventory to add/subtract,Ajout/Soustraction à l'inventaire,加/減庫存,Инвентарь для сложения/вычитания,Inventory to add/subtract,Inventory to add/subtract,Penyesuaian Inventori TAMBAH / KURANG (-),Inventário para adicionar/subtrair,Inventuru dodati/oduzeti,Bestandsänderung
giftcards_allow_alt_description,Alternativ leirás eng.,Erlaube Alternative Bezeichnung,Aanpasbare omschrijving,Permitir Descripción Alternativa,Allow Alt Description,Autorisér Description Alt,允許使用ALT描述,Разрешить альтернативные Описание,,Allow Alt Description,Deskripsi Alternatif dimungkinkan,Permitir Alterar Descrição,Dozvoli Alt opis,Erlaube Alternative Bezeichnung
giftcards_amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazonas,Amazon,Amazon
giftcards_remaining_balance,%1 számú utalvány fennmaradó értéke %2!,Restwert von Gutschein %1 ist %2!,Resterende waarde cadeaubon %1 is %2!,El valor excedente de la tarjeta de regalo %1 es de %2!,Giftcard %1 remaining value is %2!,Giftcard %1 remaining value is %2!,Giftcard %1 remaining value is %2!,Giftcard %1 remaining value is %2!,Giftcard %1 remaining value is %2!,Giftcard %1 remaining value is %2!,Giftcard %1 remaining value is %2!,Cartão de presente %1 valor remanescente é %2!,Na poklon bonu %1 ostala je još vrijednost %2!,Restwert von Gutschein %1 ist %2!
giftcards_bulk_edit,Tömeges mód.,Sammeländerung,Bewerk Selectie,Edición Múltiple,Bulk Edit,Édition en groupe,批量編輯,Массовое изменение,Bulk Edit,Bulk Edit,Ubah Massal,Edição em massa,Grupno uređivanje,Sammeländerung
giftcards_cannot_be_deleted,"Utalvány nem törölhető, mert folyamatban van egy eladás.","Konnte gewählte Gutscheine nicht löschen, einer oder mehrere weisen Verkäufe auf",De cadeaubons konden niet worden verwijderd.,No se puede borrar las tarjetas seleccionadas. Una o más tiene ventas.,"Could not deleted selected giftcards, one or more of the selected giftcards has sales.",Impossible de supprimer. Une ou plusieurs carte(s) ont des ventes.,無法刪除選定的禮金券，一個或多個所選擇的禮金券已經使用。,"Не удалось удалить выбранные подарочные карты, одну или несколько из выбранных подарочные карты имеет продаж.","Could not deleted selected giftcards, one or more of the selected giftcards has sales.","Could not deleted selected giftcards, one or more of the selected giftcards has sales.","Tidak dapat menghapus GiftCard terpilih, Satu atau lebih GiftCard yang dipilih memiliki Penjualan.","Não foi possível excluir os cartões de presente selecionados, um ou mais dos cartões de presente selecionados tem vendas.","Nije moguće obrisati poklon bon, jedan ili više poklon bonova ima prodaju.","Konnte gewählte Gutscheine nicht löschen, einer oder mehrere weisen Verkäufe auf"
giftcards_cannot_find_giftcard,Nem található információ az utalványról,Konnte keinen Gutschein finden,Kan geen cadeaubon niet vinden,No puedo encontrar información acerca de la tarjeta de regalo,Cannot find any information about giftcard,Aucune information sur la carte,找不到禮金券的訊息,Не можете найти любую информацию о Подарочную карту,Cannot find any information about giftcard,Cannot find any information about giftcard,Informasi GiftCard tidak ditemukan,Não consegue encontrar qualquer informação sobre cartões de presente,Ne možemo pronaći informacije o poklon bonu,Konnte keinen Gutschein finden
giftcards_card_value,Érték,Wert,Waarde,Valor,Value,Valeur,金額,стоимость,มูลค่า,Value,Nilai,Valor,Vrijednost,Wert
giftcards_category,Kategória,Kategorie,Categorie,Categoría,Category,Catégorie,類別,категория,,Category,Kategori,Categoria,Kategorija,Kategorie
giftcards_change_all_to_allow_alt_desc,Alternativ leirás eng.,Erlaube Alt. Bez. für ALLE,Aanpasb. omschrijvingen,Permitir Descripción Alternativa En Todos,Allow Alt Desc For All,Autoriser Desc Alt Pour Tous,充許全部ALT倒序,Разрешить альтернативные Описание Для всех,,Allow Alt Desc For All,Diijinkan Deskripsi Alternatif Untuk Semua,Permitir alterar desconto para todos,Dozvoli Alt opis za sve,Erlaube Alt. Bez. für ALLE
giftcards_change_all_to_not_allow_allow_desc,Alternativ leirás tilt.,Erlaube Alt. Bez. für KEINEN,Vast omschrijvingen,No Permitir Descripción Alternativa Para Todos,Not Allow Alt Desc For All,Interdire Desc Alt Pour Tous,不允許全部ALT倒序,Не позволяйте Альтернативные Описание Для всех,,Not Allow Alt Desc For All,Tidak Diijinkan Deskripsi Alternatif Untuk Semua,Não Permitir alterar desconto para todos,Nije dozvoljen Alt opis za sve,Erlaube Alt. Bez. für KEINEN
giftcards_change_all_to_serialized,Change All To Serialized,Ändere alle zu serialisiert,Genummerd,Cambiar Todo A Serializado,Change All To Serialized,Tout Sérialiser,全部更改序號至序列化,Заменить все в сериализованную,Change All To Serialized,Change All To Serialized,Ubah semua menggunakan nomor serial,Alterar todos os seriais,Promijeni sve u Seralized,Ändere alle zu serialisiert
giftcards_change_all_to_unserialized,Change All To Unserialized,Ändere alle zu NICHT serialisiert,Niet genummerd,Cambiar Todo A Deserializado,Change All To Unserialized,Tout Désérialiser,全部更改序號至非序列化,Чтобы изменить все десериализуются,,Change All To Unserialized,Ubah semua tanpa nomor serial,Alterar todos os sem seriais,Promijeni sve u Unseralized,Ändere alle zu NICHT serialisiert
